Crop,Soil_Type,Season,Region,N,P,K,pH,Rainfall,Temperature,Humidity,Yield_kg_per_acre,Productivity,output
Maize,Loamy,Kharif,West,169,94,79,6.49,316.1,28.5,69.3,26.23,Moderate,1
Rice,Sandy,Kharif,West,73,22,82,6.06,74.3,31.7,25.9,15.38,Low,0
Rice,Sandy,Kharif,South,178,169,296,7.93,407.7,19.4,76.8,30.2,High,1
Wheat,Clay,Rabi,East,171,125,232,6.75,338.7,25.8,87.1,43.01,High,1
Cotton,Red,Rabi,North,200,119,205,7.94,283.3,23.2,87.2,33.69,High,1
Wheat,Red,Kharif,West,165,110,163,7.3,412.7,21.4,61.3,34.37,High,1
Wheat,Clay,Zaid,South,82,45,15,5.32,103.1,32,27.8,23.12,Low,0
Cotton,Black,Zaid,East,41,31,76,5.48,149.9,31.2,39.7,15.43,Low,0
Rice,Clay,Kharif,West,183,108,241,7.02,431.1,20.5,77.4,30.97,High,1
Millets,Black,Zaid,Central,58,40,56,5.57,142,31.1,43.3,15.35,Low,0
Wheat,Red,Kharif,North,83,34,67,6.09,71.4,34.8,25.1,22.46,Low,0
Rice,Clay,Kharif,North,113,16,41,5.9,94.2,34.3,37.2,20.73,Low,0
Maize,Red,Rabi,North,82,19,19,6.11,134.7,37.4,40.1,19.75,Low,0
Sugarcane,Loamy,Rabi,West,157,53,143,6.22,217,26.2,46.1,26.46,Moderate,1
Sugarcane,Sandy,Kharif,North,122,69,162,5.85,157.5,27,70.4,30.8,Moderate,1
Wheat,Clay,Kharif,North,92,84,107,6.83,206.9,23.7,58.4,31.9,Moderate,1
Sugarcane,Black,Rabi,North,56,69,37,5.68,162.6,37,34.7,19.88,Low,0
Rice,Clay,Rabi,South,96,23,36,5.63,185.7,30.6,36.3,26.13,Low,0
Rice,Loamy,Kharif,Central,227,110,290,6.57,356.7,24,73,34.92,High,1
Rice,Sandy,Zaid,South,46,34,19,5.61,176.8,36.8,40.4,22.6,Low,0
Maize,Loamy,Zaid,West,257,110,221,7.86,305.7,23.9,70.6,38.85,High,1
Sugarcane,Red,Zaid,South,104,48,48,5.07,143.4,30.8,44.4,18.39,Low,0
Wheat,Black,Rabi,West,71,35,82,5.59,94.9,32,51.2,26.74,Low,0
Millets,Red,Kharif,Central,107,45,31,5.78,85.6,32.2,32,24.39,Low,0
Rice,Sandy,Zaid,South,127,63,159,5.88,201.1,29.1,70.6,26.56,Moderate,1
Rice,Red,Zaid,West,146,52,170,6.96,291.3,31.6,55,23.15,Moderate,1
Wheat,Black,Zaid,Central,276,169,167,6.86,288.7,26.6,78.7,39.47,High,1
Wheat,Black,Zaid,North,243,120,225,7.5,311.1,25.9,61.8,42.67,High,1
Maize,Red,Kharif,West,70,25,87,5.64,101.7,32.8,52.4,15.6,Low,0
Maize,Red,Kharif,South,169,91,98,5.81,229.5,29.3,68.9,33.23,Moderate,1
Millets,Clay,Kharif,East,181,124,240,7.55,392.2,18.8,64.6,37.99,High,1
Rice,Clay,Rabi,North,97,119,150,6.65,178.1,27.5,64,31.4,Moderate,1
Maize,Red,Rabi,East,244,122,270,6.81,305.4,27.8,78.4,31.64,High,1
Maize,Red,Kharif,South,88,29,61,6.24,115.5,33.9,53.5,19.12,Low,0
Sugarcane,Red,Kharif,Central,175,102,96,6.91,255.7,29.3,62.5,26.24,Moderate,1
Wheat,Loamy,Zaid,West,56,51,36,6.05,91.5,30.8,42.7,18.28,Low,0
Maize,Loamy,Rabi,Central,181,111,156,6.59,278.9,25.3,64.1,23.29,Moderate,1
Sugarcane,Black,Kharif,North,220,134,152,7.48,284.4,24.9,78.7,43.12,High,1
Cotton,Black,Zaid,Central,170,60,111,6,173.7,29.1,40.5,30.62,Moderate,1
Millets,Clay,Kharif,West,101,16,44,6.24,77.6,34.9,38.4,22.5,Low,0
Rice,Loamy,Kharif,East,158,115,112,6.01,273.7,30.8,71.2,29.78,Moderate,1
Cotton,Loamy,Zaid,North,226,112,232,7.01,285.5,25.6,62.2,38.98,High,1
Sugarcane,Black,Zaid,East,262,164,197,7.41,400.6,26.2,70.3,40.17,High,1
Millets,Red,Kharif,South,164,151,276,7.92,286.4,27.7,83.5,32.94,High,1
Rice,Red,Rabi,North,206,140,238,7.7,428.7,23.7,77.2,31.7,High,1
Cotton,Sandy,Rabi,West,183,87,127,7.07,153.9,27.2,67.3,33.98,Moderate,1
Wheat,Red,Zaid,Central,116,69,38,6.21,169.7,35.7,54.2,16.69,Low,0
Cotton,Sandy,Rabi,Central,186,146,205,6.62,319.6,21.3,83,32.99,High,1
Sugarcane,Clay,Kharif,East,116,63,29,6.13,84,32.8,26.6,24.29,Low,0
Millets,Black,Rabi,Central,195,86,119,7.06,287,30.6,46.4,33.71,Moderate,1
Millets,Red,Rabi,North,102,82,98,7,298.1,26.2,42.8,26.21,Moderate,1
Maize,Black,Rabi,Central,51,41,31,6.16,70.4,33.7,43.6,22.31,Low,0
Cotton,Clay,Zaid,North,286,108,272,6.65,345.2,25.1,68.8,43.4,High,1
Sugarcane,Red,Kharif,South,210,106,222,6.92,420.9,20.2,64.7,41.15,High,1
Wheat,Black,Zaid,West,99,39,52,5.81,76.3,31.9,32.9,21,Low,0
Maize,Clay,Zaid,Central,254,111,261,7.12,365.5,26.5,84,38.64,High,1
Millets,Red,Kharif,South,43,66,48,5.8,183.6,36.2,32.7,20.03,Low,0
Sugarcane,Sandy,Rabi,North,246,160,170,8.1,381.4,26.2,84.4,42.33,High,1
Millets,Sandy,Zaid,South,121,109,88,6.55,299.5,27.7,60.9,22.29,Moderate,1
Wheat,Loamy,Kharif,South,192,151,221,7.81,279.5,19,83.1,40.76,High,1
Maize,Loamy,Zaid,Central,92,105,88,6.03,185.3,25.5,55.7,28.63,Moderate,1
Millets,Sandy,Kharif,South,160,111,257,7.06,382.8,22.3,82.3,39.39,High,1
Millets,Sandy,Kharif,Central,192,160,275,7.31,305.4,21.7,67.2,33.87,High,1
Cotton,Clay,Rabi,East,205,118,205,8.02,282.7,22.1,86.9,35.37,High,1
Millets,Red,Rabi,Central,45,42,68,6.11,148.6,37.8,39.1,19,Low,0
Cotton,Black,Rabi,South,208,130,250,6.87,399.5,20.7,86.3,40.18,High,1
Rice,Black,Zaid,West,161,78,112,6.2,286.3,27.8,70.4,26.41,Moderate,1
Wheat,Sandy,Zaid,North,144,73,127,6.8,167,28.5,47.9,30.22,Moderate,1
Maize,Black,Kharif,South,190,116,98,5.83,275.5,28.2,41.6,25.84,Moderate,1
Wheat,Sandy,Kharif,West,294,155,274,7.14,431.4,24,84.4,40.3,High,1
Sugarcane,Sandy,Kharif,West,185,115,120,6.64,160.2,23.3,51.2,26.4,Moderate,1
Sugarcane,Loamy,Zaid,West,283,135,195,6.99,418.9,22.8,77.6,33.89,High,1
Rice,Black,Zaid,South,60,30,88,5.96,128.3,32.5,36,23.03,Low,0
Wheat,Sandy,Rabi,West,252,142,192,7.93,292.3,18.5,70.4,32.92,High,1
Wheat,Black,Rabi,Central,62,31,37,5.03,115,34.5,47.2,20.31,Low,0
Millets,Clay,Zaid,East,163,116,140,6.91,273.7,31.5,48.3,29.4,Moderate,1
Maize,Sandy,Rabi,South,224,112,234,7.44,342.8,26.9,70.1,43.45,High,1
Maize,Clay,Rabi,North,53,26,64,5.03,90.7,32.2,51.4,19.87,Low,0
Sugarcane,Sandy,Zaid,South,125,76,128,7.47,307.1,22.7,42.5,30.49,Moderate,1
Sugarcane,Loamy,Zaid,East,73,25,18,5.4,173.5,34.1,31.4,25.02,Low,0
Cotton,Sandy,Rabi,North,230,128,250,7.58,366,25.4,73.8,31.63,High,1
Sugarcane,Sandy,Rabi,West,293,147,189,7.81,260.6,22,60.4,36.02,High,1
Millets,Red,Kharif,Central,192,106,211,7.67,374,19.3,77.5,31.89,High,1
Maize,Red,Zaid,West,101,68,19,5.34,140.6,31.3,51.8,15.98,Low,0
Cotton,Sandy,Rabi,South,92,45,39,5.25,138.7,33.1,37.9,17.48,Low,0
Sugarcane,Black,Zaid,West,67,69,38,6.22,85.1,35.3,41.7,17.29,Low,0
Maize,Red,Kharif,South,54,20,71,6.21,158.7,35.7,28.5,25.73,Low,0
Sugarcane,Loamy,Zaid,Central,57,15,86,5.21,106.7,30.1,35.1,15.19,Low,0
Sugarcane,Red,Rabi,East,288,160,221,7.17,385.9,27.6,75.2,31.63,High,1
Cotton,Red,Zaid,South,110,38,15,5.27,129.9,36.8,51.6,15.23,Low,0
Sugarcane,Loamy,Zaid,East,103,107,121,6.55,266.5,24.3,43,34.81,Moderate,1
Rice,Loamy,Zaid,South,154,96,102,7.19,308,25.7,66.1,25.81,Moderate,1
Sugarcane,Sandy,Kharif,West,184,114,121,6.15,260.2,22.7,72.7,29.1,Moderate,1
Rice,Red,Kharif,East,164,118,140,6.97,185.2,24.9,71.2,25.33,Moderate,1
Millets,Loamy,Zaid,East,120,107,112,5.86,242.7,26,52.7,22.42,Moderate,1
Cotton,Black,Rabi,South,199,111,169,7.27,435.1,18.5,61.2,36.17,High,1
Maize,Sandy,Zaid,Central,48,27,46,5.49,103.3,31.6,45.2,23.73,Low,0
Rice,Red,Kharif,South,55,62,59,5.08,194.7,36.6,46,15.68,Low,0
Cotton,Loamy,Rabi,West,74,35,27,5.41,174.6,36.3,33.7,15.96,Low,0
Maize,Red,Rabi,North,237,140,234,8.02,324.7,20.1,71.7,30.11,High,1
Cotton,Clay,Rabi,Central,44,51,37,5.25,116.1,30.5,41.2,24.62,Low,0
Rice,Black,Kharif,Central,191,71,171,6.68,245.6,31.4,41.1,32.29,Moderate,1
Millets,Sandy,Rabi,Central,111,64,124,6.54,247.6,23.9,62.8,34.48,Moderate,1
Cotton,Sandy,Kharif,Central,253,122,170,7.98,394.5,19.2,79.3,40.71,High,1
Maize,Clay,Rabi,East,97,29,31,5.49,142.8,30.8,26.9,20.52,Low,0
Cotton,Red,Rabi,North,161,90,109,7.47,150.7,25.1,49.3,24.37,Moderate,1
Rice,Clay,Rabi,West,276,127,198,7.31,335.6,19.9,72.6,44.79,High,1
Wheat,Sandy,Kharif,Central,100,23,68,6.23,163.8,34.8,26.3,17.32,Low,0
Maize,Sandy,Rabi,East,112,27,74,5.17,167.7,32.4,39.5,23.84,Low,0
Rice,Black,Kharif,Central,235,133,293,6.52,251.2,23.1,73.5,34.08,High,1
Cotton,Sandy,Kharif,Central,203,141,273,6.88,365.4,27.9,81.4,36.4,High,1
Cotton,Black,Zaid,East,92,21,80,5.83,191.2,30.8,42.9,25.33,Low,0
Maize,Red,Zaid,East,84,25,30,6.02,86.3,34.8,50.2,23.43,Low,0
Millets,Clay,Zaid,South,184,102,138,6.63,176.8,29.3,74.1,26.74,Moderate,1
Cotton,Red,Rabi,North,119,62,68,6.19,175.1,30.7,35.6,16.37,Low,0
Maize,Loamy,Zaid,West,295,159,221,7.87,374.3,20.7,89.6,36.5,High,1
Rice,Sandy,Rabi,West,134,103,90,6.88,205.1,24.2,58.9,26,Moderate,1
Millets,Clay,Kharif,North,182,89,109,7.22,255.2,23.6,71.3,25.12,Moderate,1
Wheat,Red,Zaid,East,174,168,288,7.86,354.9,20.7,74.8,35.04,High,1
Maize,Red,Kharif,North,188,93,179,7.02,150.8,28.6,65.7,27.47,Moderate,1
Sugarcane,Red,Rabi,South,50,63,39,5.61,125.7,36,25.8,23.39,Low,0
Rice,Red,Zaid,Central,120,81,145,6.99,163.2,28.9,63.8,30.02,Moderate,1
Millets,Red,Zaid,Central,276,121,216,7.52,394.4,25.8,84.7,44.94,High,1
Cotton,Loamy,Kharif,North,136,59,74,7.2,257.5,30.9,67,32.5,Moderate,1
Maize,Loamy,Rabi,North,182,159,253,7.53,264.6,26.7,60.1,39.03,High,1
Wheat,Red,Zaid,North,126,119,147,6.84,269.5,28.2,47,30.2,Moderate,1
Wheat,Clay,Zaid,West,55,58,85,5.24,156.5,32.8,42.6,19.05,Low,0
Maize,Loamy,Rabi,West,213,113,262,7.13,411.2,26,82.3,30.63,High,1
Rice,Clay,Rabi,South,233,151,282,7.58,399.8,25.2,76.8,38.25,High,1
Millets,Red,Zaid,East,98,51,157,6.33,256.6,32,69.5,34.53,Moderate,1
Wheat,Black,Zaid,Central,176,114,169,6.9,319.1,25.5,81.5,35.05,High,1
Wheat,Sandy,Zaid,North,261,164,208,7.01,280.6,18.5,83.8,38.18,High,1
Wheat,Black,Kharif,North,107,54,52,6.14,97.2,33,27.6,17.11,Low,0
Millets,Black,Rabi,South,60,46,16,6.26,150.1,37.9,42.2,26.39,Low,0
Millets,Red,Kharif,East,100,99,158,7.15,165.3,23.9,58.5,33.45,Moderate,1
Maize,Red,Zaid,South,170,79,148,5.85,175.1,26.2,73.3,33.33,Moderate,1
Rice,Clay,Zaid,East,72,18,85,5.96,114.4,37.3,44,18.6,Low,0
Rice,Black,Zaid,West,109,24,49,5.81,152.9,34.4,30.5,15.93,Low,0
Wheat,Red,Zaid,Central,175,75,178,6.6,295.5,31.1,52,25.52,Moderate,1
Sugarcane,Red,Rabi,West,185,75,91,6.98,191.9,30.3,52.4,33.23,Moderate,1
Cotton,Clay,Kharif,North,71,18,81,5.87,131.3,37.4,35.6,22.97,Low,0
Sugarcane,Loamy,Rabi,Central,45,21,44,5.56,161.8,30.1,51.8,24.86,Low,0
Sugarcane,Black,Zaid,West,77,49,49,5.25,165.2,36.5,52.5,26.32,Low,0
Rice,Loamy,Kharif,West,151,58,163,7.1,281.4,24.3,61.3,22.7,Moderate,1
Wheat,Clay,Kharif,East,258,153,155,6.8,259.3,27.3,89.2,37.98,High,1
Sugarcane,Sandy,Kharif,West,107,68,58,6.08,139.7,31.5,35.4,20.81,Low,0
Sugarcane,Black,Kharif,North,87,61,80,5.11,145.8,34.9,32,15.24,Low,0
Rice,Sandy,Kharif,North,199,168,266,6.81,274.2,20.2,65.4,35.77,High,1
Cotton,Red,Rabi,North,234,104,191,7.29,330.9,25.1,70.5,31.12,High,1
Wheat,Clay,Kharif,North,217,155,269,8.18,358.8,25.1,82.1,38.56,High,1
Maize,Sandy,Zaid,South,46,24,19,6.06,148.5,31.1,53.1,21.81,Low,0
Wheat,Sandy,Kharif,West,194,145,299,6.8,286.1,23.3,79.9,36.39,High,1
Rice,Loamy,Kharif,West,112,58,122,6.59,229,26.3,73.8,25.7,Moderate,1
Maize,Red,Zaid,North,42,61,67,5.01,161.5,31.5,49.9,18.63,Low,0
Cotton,Clay,Kharif,North,207,120,267,7.48,378.8,19.9,86.3,37.8,High,1
Rice,Clay,Zaid,South,73,44,16,6.3,186.5,31.2,36,26.93,Low,0
Maize,Black,Kharif,Central,182,93,119,6.48,289.3,26.4,68.7,29.22,Moderate,1
Rice,Clay,Zaid,Central,47,20,29,6.12,171.6,34.3,44.1,23.35,Low,0
Millets,Loamy,Zaid,South,128,88,133,6.58,162.3,25.8,46.2,25.18,Moderate,1
Maize,Red,Kharif,North,167,60,144,6.19,272.8,27.4,65.9,22.88,Moderate,1
Wheat,Black,Zaid,North,45,28,60,5.91,141.7,32.6,45.1,15.37,Low,0
Millets,Clay,Kharif,West,43,32,55,5.96,74.6,31,45.9,16.39,Low,0
Sugarcane,Loamy,Rabi,East,196,102,163,6.59,213,25.2,43.1,29.83,Moderate,1
Maize,Black,Kharif,West,114,58,89,6.07,198.5,33.1,28.5,21.65,Low,0
Millets,Black,Rabi,South,116,51,81,5.39,181.2,31.7,28.6,16.89,Low,0
Wheat,Loamy,Zaid,South,123,117,120,6.35,242.5,24.8,50.6,28.43,Moderate,1
Millets,Loamy,Rabi,West,82,33,19,6.07,117.8,37.6,48.2,26.45,Low,0
Wheat,Sandy,Rabi,North,290,105,223,7.55,402.2,19.5,84.5,43.81,High,1
Millets,Loamy,Zaid,East,184,69,136,6.7,168.5,26.7,69.5,22.15,Moderate,1
Wheat,Black,Rabi,South,95,99,89,6.05,207.8,28.8,69.1,33.15,Moderate,1
Wheat,Black,Kharif,West,92,26,74,5.18,195.5,36,32.8,16.54,Low,0
Wheat,Clay,Rabi,North,189,53,95,6.11,159.2,31.3,50.8,34.18,Moderate,1
Rice,Red,Zaid,East,76,19,28,5.88,140.8,36.8,46.3,25.04,Low,0
Millets,Clay,Zaid,Central,210,156,191,7.23,375.6,21.9,63.9,31.51,High,1
Millets,Sandy,Kharif,East,107,79,125,6.92,213.6,28.8,62.4,22.46,Moderate,1
Sugarcane,Loamy,Zaid,South,188,60,109,6.8,279.6,30.7,52.6,29.13,Moderate,1
Cotton,Loamy,Zaid,North,175,103,169,6.53,372.1,23.3,78.8,37.84,High,1
Sugarcane,Loamy,Zaid,North,293,161,222,7.77,296.7,26.4,62.4,38.2,High,1
Maize,Loamy,Zaid,Central,76,63,46,6.3,159.5,32,33.6,25.37,Low,0
Cotton,Red,Zaid,South,111,36,53,6.22,152,36.2,41.3,15.65,Low,0
Millets,Sandy,Zaid,North,98,102,169,6.05,317.9,24,40.9,22.21,Moderate,1
Cotton,Sandy,Kharif,South,180,106,126,6.73,176.3,23.6,48,25.51,Moderate,1
Cotton,Black,Zaid,East,182,92,176,6.93,276.7,22.3,52.7,28.38,Moderate,1
Sugarcane,Red,Zaid,North,91,21,77,5.22,111.9,31.7,44.4,25.97,Low,0
Sugarcane,Clay,Kharif,Central,62,64,80,5.72,170.7,35.7,47.8,15.85,Low,0
Wheat,Loamy,Rabi,North,109,16,70,5.81,138.2,37,29.9,25.35,Low,0
Rice,Sandy,Rabi,East,57,30,35,5.48,124.1,34.4,28.6,15.47,Low,0
Wheat,Clay,Kharif,South,243,139,252,7.65,404.7,21.9,72.4,32.39,High,1
Millets,Red,Rabi,Central,176,97,133,5.97,237.2,29.7,53.7,33.37,Moderate,1
Wheat,Clay,Kharif,East,143,117,120,7.12,197.8,31,46.3,34.49,Moderate,1
Wheat,Sandy,Zaid,East,112,66,32,5.59,193.9,34.3,40.9,15.03,Low,0
Maize,Sandy,Zaid,North,106,65,70,6.3,155.5,34,39.4,17.27,Low,0
Rice,Sandy,Kharif,North,280,110,218,7.14,336.6,27.4,79.9,30.6,High,1
Maize,Clay,Zaid,Central,197,163,253,8.1,430.2,21.5,82.6,42.63,High,1
Wheat,Clay,Kharif,South,267,128,175,7.41,373.7,27.6,71.1,38.95,High,1
Cotton,Black,Kharif,East,62,62,32,5.36,107.1,32.2,45.1,21.97,Low,0
Maize,Clay,Zaid,East,42,60,75,5.51,157.1,30.7,34.8,18.48,Low,0
Maize,Black,Kharif,South,134,57,115,6.57,185.8,29.3,65.3,22.98,Moderate,1
Sugarcane,Sandy,Rabi,East,100,55,49,5.67,129.8,33,39.6,16.21,Low,0
Maize,Red,Zaid,Central,108,42,77,5.56,93,37.6,53.1,21.91,Low,0
Sugarcane,Black,Zaid,East,94,61,17,6.03,179.8,30.7,41.3,22.81,Low,0
Sugarcane,Clay,Zaid,North,67,38,73,5,83.9,34.8,44.2,16.03,Low,0
Wheat,Loamy,Rabi,Central,56,37,33,5.18,199.5,32.7,27.7,16.7,Low,0
Millets,Black,Zaid,East,117,111,163,6.51,286.8,24.8,61.3,27.23,Moderate,1
Maize,Loamy,Zaid,West,174,85,157,6.91,225.9,25.1,70.9,31.77,Moderate,1
Sugarcane,Sandy,Zaid,West,151,72,129,6.93,266.8,26.5,48.5,32.98,Moderate,1
Cotton,Sandy,Kharif,East,275,157,298,6.62,299.1,27.8,69.3,30.41,High,1
Cotton,Loamy,Zaid,East,99,60,136,7,203.2,23.7,65.6,29.9,Moderate,1
Millets,Clay,Rabi,West,76,66,76,6.2,178.7,32.3,36.2,22.82,Low,0
Wheat,Black,Zaid,North,296,143,191,7.22,415.5,19.5,68.2,34.29,High,1
Millets,Sandy,Kharif,South,232,147,290,7.83,417.9,20.1,76.8,38.27,High,1
Sugarcane,Red,Kharif,South,97,48,41,6.09,122,37.4,35.7,25.55,Low,0
Rice,Red,Zaid,West,155,61,102,6.07,154.6,27.4,60.1,32.01,Moderate,1
Millets,Black,Zaid,Central,119,69,80,6.19,199.6,35.8,32.4,19.89,Low,0
Cotton,Sandy,Kharif,East,115,43,54,5.49,120.1,31.5,26.2,26.83,Low,0
Rice,Sandy,Zaid,South,235,119,261,8.11,283.5,18.5,87.4,43.78,High,1
Millets,Sandy,Rabi,Central,67,39,38,6.18,177.3,34.7,51.4,23.18,Low,0
Rice,Loamy,Rabi,South,190,79,118,6.98,205.4,30.9,67.8,27.28,Moderate,1
Sugarcane,Clay,Kharif,East,80,61,79,6.02,87.8,30.5,33.9,21.59,Low,0
Maize,Loamy,Kharif,Central,160,103,112,6.95,270.5,30.2,46.9,29.71,Moderate,1
Millets,Sandy,Zaid,Central,106,57,59,5.64,102.5,33.6,43.2,26.55,Low,0
Maize,Red,Kharif,West,56,43,30,5.1,156.5,37.3,33.8,22.41,Low,0
Millets,Black,Zaid,North,71,48,15,5.06,90.2,30,48.2,19.42,Low,0
Millets,Red,Zaid,East,148,88,138,6.37,188,24.4,43.5,28.52,Moderate,1
Millets,Black,Zaid,West,228,129,158,6.89,291.7,21.4,82.8,38.82,High,1
Millets,Sandy,Rabi,South,142,104,157,7.12,255.1,29.5,51,30.02,Moderate,1
Millets,Sandy,Rabi,North,238,125,297,7.21,252.9,18.8,64.1,34.33,High,1
Sugarcane,Sandy,Rabi,West,233,157,259,7.82,291.5,25.8,76.3,30.03,High,1
Maize,Clay,Zaid,South,41,38,16,5.15,177.7,31.2,28.5,19.93,Low,0
Wheat,Clay,Kharif,West,116,63,84,6.64,210.9,30.9,63.5,22.11,Moderate,1
Wheat,Loamy,Kharif,West,40,38,85,5.33,191.4,35.2,46.7,19.39,Low,0
Wheat,Black,Kharif,West,294,148,295,7.35,356.2,19.9,72.4,35.77,High,1
Sugarcane,Loamy,Rabi,West,87,36,87,6.26,115.2,37.4,49.6,20.8,Low,0
Maize,Red,Rabi,Central,60,31,55,5.93,161.3,32.7,47.6,23.17,Low,0
Wheat,Red,Rabi,North,281,118,230,7.25,354.8,22,88.8,39.34,High,1
Cotton,Sandy,Kharif,West,104,104,130,6.55,249.6,26.4,53.7,30.45,Moderate,1
Rice,Red,Zaid,Central,107,35,82,5.03,111.4,34.9,53.8,18.64,Low,0
Rice,Clay,Kharif,South,288,155,249,7.83,344.6,24.2,73,39.76,High,1
Rice,Sandy,Rabi,West,105,57,16,5.91,148.4,35.4,41.8,20.8,Low,0
Rice,Black,Rabi,Central,116,62,41,5.03,163.4,37.3,40.8,18.28,Low,0
Cotton,Black,Zaid,West,40,57,50,5.98,98.4,34.7,45,25,Low,0
Sugarcane,Black,Kharif,South,293,146,218,6.55,265.4,22.5,88.2,43.89,High,1
Millets,Red,Rabi,North,102,106,164,6.1,236.7,26.1,50.9,28.39,Moderate,1
Rice,Clay,Zaid,East,91,50,142,6.24,157.6,25,55.3,22.68,Moderate,1
Wheat,Clay,Zaid,West,255,143,264,8,347.7,25,60.3,33.73,High,1
Cotton,Loamy,Zaid,West,90,36,41,5.45,137.4,34.5,32.3,15.63,Low,0
Rice,Loamy,Rabi,West,117,54,81,5.33,191.6,34.9,53.1,15.93,Low,0
Cotton,Sandy,Kharif,North,63,18,55,5.86,118.2,30.8,50.2,19.89,Low,0
Cotton,Loamy,Rabi,North,124,118,170,6.17,319.1,24.4,68.2,23.38,Moderate,1
Millets,Sandy,Zaid,West,277,147,259,7.89,274.5,25,83.8,31.69,High,1
Wheat,Loamy,Rabi,North,134,79,117,7.1,182.9,26.9,73,24.76,Moderate,1
Cotton,Red,Kharif,South,265,163,156,8.17,271.9,22.5,88.1,34.21,High,1
Cotton,Loamy,Rabi,South,220,136,275,6.7,264.4,26.1,76.2,43.01,High,1
Millets,Black,Rabi,South,148,51,135,6.81,229.8,28.8,71.8,28.51,Moderate,1
Millets,Black,Kharif,East,151,90,110,7.33,248.9,27.4,41.4,32.73,Moderate,1
Wheat,Sandy,Rabi,East,170,72,171,6.29,286.2,22.9,51.7,33.74,Moderate,1
Millets,Black,Zaid,East,74,28,77,5.46,93.8,35.2,43.4,20.68,Low,0
Sugarcane,Loamy,Zaid,East,130,90,105,6.43,220.5,31.8,68,23.7,Moderate,1
Maize,Sandy,Zaid,Central,249,149,197,7.78,325.9,24.3,79.3,42.54,High,1
Millets,Sandy,Rabi,West,78,67,46,5.3,138.7,31,43.1,20.36,Low,0
Millets,Sandy,Zaid,South,203,112,258,6.7,382.2,21.7,80.5,31.25,High,1
Rice,Red,Kharif,East,110,61,72,6.06,241.9,23.5,53.6,30.52,Moderate,1
Wheat,Black,Kharif,Central,139,106,149,6.36,165,30.1,53.8,23.93,Moderate,1
Rice,Black,Rabi,West,106,41,32,6.24,181.7,32.7,49.5,17.07,Low,0
Millets,Clay,Zaid,North,44,55,60,5.27,124.5,36.7,53.9,16.76,Low,0
Maize,Black,Kharif,West,94,22,18,5.33,153.8,36,29.8,17.3,Low,0
Cotton,Sandy,Kharif,West,296,156,212,7.48,340.3,24.6,60.5,40.58,High,1
Rice,Clay,Zaid,North,163,94,162,6.86,163.7,28,45.5,25.1,Moderate,1
Millets,Black,Kharif,Central,100,55,150,6.8,206.5,26.6,43.7,27.82,Moderate,1
Maize,Red,Rabi,East,105,114,78,6.68,291.9,22.6,46.1,27.55,Moderate,1
Cotton,Red,Kharif,South,243,157,275,6.66,334.5,25.3,79.3,35.62,High,1
Cotton,Black,Zaid,Central,136,95,154,6.22,188.3,31.8,68.6,22.85,Moderate,1
Rice,Red,Rabi,West,148,103,135,7.34,285,31.5,63.2,33.52,Moderate,1
Maize,Loamy,Rabi,East,178,158,202,7.87,319.6,25.8,80.4,41.85,High,1
Millets,Loamy,Kharif,East,159,51,149,6.91,309.2,31.8,49.1,26.62,Moderate,1
Millets,Clay,Zaid,South,119,63,50,5.49,180,32.6,44,16.47,Low,0
Rice,Sandy,Zaid,South,105,22,25,5.79,169.8,34.3,35.7,18.06,Low,0
Cotton,Clay,Zaid,Central,299,108,260,8.19,419.7,25.4,84.1,34.33,High,1
Maize,Sandy,Rabi,West,257,152,205,7.05,355.1,24.1,85.3,42.49,High,1
Maize,Clay,Zaid,Central,162,53,76,7.05,294.5,22.9,40,27.68,Moderate,1
Cotton,Loamy,Kharif,East,55,37,79,6.04,71.2,37.9,37.5,15.03,Low,0
Rice,Sandy,Kharif,North,104,97,87,6.42,248.1,27.3,62.9,28.18,Moderate,1
Cotton,Black,Rabi,East,232,117,171,7.26,258.1,26.1,69,30.92,High,1
Millets,Clay,Rabi,South,196,154,267,8.19,310.3,26.6,80.5,35.92,High,1
Maize,Loamy,Rabi,East,113,47,31,6.06,93.9,32.5,33.4,22.85,Low,0
Millets,Clay,Rabi,West,105,113,170,6.07,292.9,29.2,60.9,34.22,Moderate,1
Rice,Red,Zaid,South,177,101,129,6.75,164.7,27.5,69.7,23.69,Moderate,1
Millets,Clay,Zaid,South,103,60,25,5.52,101.4,36.8,29.9,19.32,Low,0
Maize,Black,Rabi,West,141,52,84,6.42,231,29.2,67.7,23.41,Moderate,1
Millets,Loamy,Kharif,East,132,82,155,6.28,212.7,29.1,48.3,33.39,Moderate,1
Millets,Clay,Zaid,Central,86,66,69,5.52,92.8,30.5,39.7,25.53,Low,0
Wheat,Black,Zaid,West,273,139,276,6.87,446,27.8,82.2,31.63,High,1
Cotton,Clay,Kharif,North,263,125,184,7.18,277.1,25,87.7,39.57,High,1
Rice,Red,Kharif,West,103,116,75,7.23,315.6,30.1,50.7,27.12,Moderate,1
Rice,Red,Zaid,North,117,15,65,6.14,188,36.7,51.9,18,Low,0
Wheat,Loamy,Rabi,West,94,32,81,5.6,101.9,31.2,47.1,15.61,Low,0
Maize,Clay,Zaid,Central,215,134,175,7.06,314.5,20.2,62.8,32.33,High,1
Sugarcane,Clay,Zaid,East,84,35,28,5.66,97.7,37,25.6,23.76,Low,0
